,companycode,companyname,companysource,meituanid,provincename,cityname,postalname,companyaddress,longitude,latitude,destinephone,shopphonenum,confirmstatus,updatedate,ismatched
3976,12744,美丽之冠KTV,美团,159056982,河南省,平顶山市,宝丰县,宝丰县中兴路71号 河南省平顶山市,113.078301,33.870721,0375-6567777,1,确定,2020/8/4,
3977,12745,白金汉宫假日酒店,美团,4981789,广西,百色,右江区,田东县金穗大道30-9号查看地图,23.604413,",107.130231",0776-5212888,3,确定,7.27,
3978,12747,万花筒主题量贩式KTV,美团,119052715,河北省,唐山市,路北区,河北省唐山市路北区龙泽北路与长虹东道交口北行100米路西 ,118.188850,39.651349,0315-6178888,1,确定,2020/8/7,
3979,12748,麦克小熊时尚主题量贩式KTV（侨乡店）,美团,1200671,山东省,威海市,环翠区,环翠区海滨路128-1号大润发超市南门1楼 ,122.135041,37.487581,0631-5120899||0631-5128799,1,确定,2020/8/17,
3980,12751,STAR星空音乐小镇KTV,美团,107131641,陕西省,商洛市,商州区,陕西省商洛市商州区江滨大道融侨大厦一楼 ,109.925710,33.862281,0914-2394555,0,确定,2020/8/20,
3981,12752,好声音量贩式KTV（东岗店）,美团,119972027,河北省,石家庄市,裕华区,河北省石家庄市裕华区翟营大街东岗路交叉口春天广场4楼 ,114.554161,38.015691,0311-66118888,3,确定,2020/8/7,
3982,12757,佰迪乐KTV（北流店）,美团,113603386,广西,玉林,北流市,广西玉林北流市国际贸易陶瓷城大上亿3楼佰迪乐,110.344278,22.720442,0775-6663366/4000606166,2,确定,8.19,
3983,12758,盛世飞歌音乐烤吧KTV,美团,162941795,陕西省,延安市,甘泉县,陕西省延安市甘泉县西门坪美水路美林国际四楼（近百年奥斯卡国际影城） ,109.346989,36.280022,0911-4227000,1,确定,2020/8/24,
3984,12761,凤凰城量贩式KTV,美团,156640579,广东,东莞,东莞, 塘厦镇塘龙东路49号 ,"114.096016,",22.804244, 0769-87901866,1,确定,7.28,
3985,12769,飞越时空至尊会所KTV,美团,40537265,浙江省,舟山市,定海区,定海区环城东路96号附近 ,122.113353,30.013297,0580-2021788,1,确定,2020/8/21,
3986,12776,八度空间量贩KTV,美团,6030111,浙江省,台州市,玉环市,玉环市楚门镇环保路路口（棕榈湾咖啡楼上） ,121.296041,28.221652,0576-81749888,1,确定,2020/8/13,
3987,12778,私人订制主题量贩KTV旗舰店,,169520943,黑龙江,佳木斯,富锦市,黑龙江佳木斯富锦市胜利大街华宇大药房旁,"132.629841,47.267808",47.259075,0454-5716789,1,确定,2020.8.6,
3988,12779,好时光量贩式KTV（监利店）,美团,40481823,湖北市,荆州市,监利县,湖北市荆州市监利县江城路大转盘以南50米 ,112.907152,29.813875,0716-3273333,4,确定,2020/7/30,
3989,12782,K货BEST KTV,美团,120842313,浙江省,杭州市,西湖区, 西湖区杭新路金街美地商业广场1号楼4楼 ,120.079124,30.147254,0571-87970288,5,确定,2020/7/30,
3990,12788,花秀会员制KTV,美团,618943839,河南省,漯河市,源汇区,河南省漯河市源汇区民主路与友爱街交叉口向东50米 ,114.033571,33.571513,0395-6768886,5,确定,2020/7/31,
3991,12789,凯乐迪量贩式KTV,美团,120465713,江苏省,盐城市,亭湖区,亭湖区南洋中学东50米4楼 ,120.238241,33.435173,0515-88878188,1,确定,2020/8/21,
3992,12794,ATT音乐派量贩KTV（犀牛广场店）,美团,5584708,四川,遂宁,船山区,四川遂宁 船山区滨江北路金港名都南区3F（公交18路玻璃塔站对面） ,105.573418,30.518247, 0825-8882866,1,确定,2020.7.31,是
3993,12799,金街量酷量贩KTV,,156680518,辽宁,大连,甘井子区,辽宁 甘井子区松江路7号金街壹号美食娱乐广场内 ,121.581197,38.967942, 0411-82880000,1,确定,2020.8.10,
3994,12800,佰韵主题量贩KTV（普兰店）,,98208089,辽宁,大连,普兰店市,辽宁 普兰店市西工路14-1-5-1号 ,"121.958712,39.407841",39.39961, 0411-83193111/83195111,1,确定,2020.8.10,
3995,12808,圣帝KTV,美团,6994968,四川,凉山彝族自治州,会东县,四川凉山彝族自治州 会东县满银路东段54号 ,102.582479,26.630182, 0834-5429000||18981595939,1,确定,2020.8.6,是
3996,12809,钱柜KTV,,163444758,吉林,白山,抚松县,吉林白山 抚松县松山街祥和酒店对过,"127.489335,42.165593",42.16751,0439-6330077,1,确定,2020.8.7,
3997,12810,皇室派对量贩式KTV,美团,116708074,湖南省,长沙市,雨花区,湖南省长沙市雨花区曲塘路五江天街一期三栋四楼 ,113.027557,28.147167,0731-82118111,3,确定,2020/8/17,
3998,12812,国兴恋歌房,美团,5188087,福建省,漳州市,龙海市,福建省漳州市龙海市龙池商厦4楼 ,117.938723,24.490979,0596-6662333,0,确定,2020/8/14,
3999,12815,欢乐空间量贩式KTV（江汉店）,美团,748634,湖北省,武汉,江汉区,湖北省武汉市江汉区江汉路宝丽金流行广场4楼（哩贺台湾古早味） ,114.343643,30.588601,027-82878088,3,确定,2020/8/10,
4000,12818,音乐魔方KTV,美团,40691202,四川,成都,温江区,四川成都温江区柳南四路53号 ,103.829347,30.683829,13982010476手机,1,确定,2020.8.17,是
4001,12821,半岛咖啡,美团,102480144,新疆,乌鲁木齐,米东区,新疆省乌鲁木齐米东区稻香南路华夏名府2楼,87.648639,43.956111,0991-3301186,0,确定,2020/8/24,
4002,12823,水韵国际KTV,美团,1357585698,重庆,重庆,巫溪县,重庆省重庆 巫溪县春申大道夕阳红养老院对面 ,109.557528,31.394591, 023-81166888,0,确定,2020.7.28,是
4003,12825,美卡KTV,,98478706,宁夏,石嘴山,惠农区,宁夏石嘴山 惠农区清华路与南大街交叉口南 ,"106.767604,",39.219544,15226265445,0,确定,,
4004,12827,艾美量贩KTV,美团,41437780,重庆,重庆,万州区,重庆省重庆万州区静园路150号（三峡之星体育馆） ,"108.38752,",30.80266,023-58339966,5,确定,2020.7.28,是
4005,12829,皇岛酒店KTV,美团,41409416,福建省,泉州市,晋江市,福建省泉州市晋江市桥山路皇岛酒店（金石国际娱乐会所附近） ,118.481541,24.719842,0595-86127777||0595-87828888,0,确定,2020/8/5,
4006,12830,七乐聚点,,92380801,甘肃,平凉,崆峒区,甘肃崆峒区世纪花园酒吧一条街北口，金坊源对面,",106.669872",35.555826,0933-8266622,1,确定,2020.8.19,
4007,12839,喜乐汇K8量贩KTV,美团,169536383,广西,贺州,钟山县,钟山县北环东路57号 ,"111.304479,",24.536817, 0774-8989988,0,确定,8.5,
4008,12840,银座量贩式KTV（西河店）,美团,119442324,四川,成都,龙泉驿区,四川成都 龙泉驿区双龙路开新家园4栋501号 ,104.23627,30.644967,028-88468988,6,确定,2020.8.14,是
4009,12845,百尚派对KTV,美团,102458135,广东,深圳,宝安区,广东深圳市光明新区公明街道玉律社区玉泉东路20-1号南海百货5楼,113.900238,22.717469,0755-26923288,1,确定,8.13,
4010,12849,万歌汇主题量贩KTV,美团,114451484,江西省,上饶市,信州区,江西省上饶市信州区万力时代4楼 ,117.984100,28.447641,0793-8188999,4,确定,2020/8/6,
4011,12850,K乐时尚KTV娱乐会所,美团,1677970399,江苏省,苏州市,吴江区,吴江区盛泽·国贸中心 ,120.631118,30.898453,0512-63861036,0,确定,2020/8/13,
4012,12851,琴潮主题量贩KTV（宁海西子店）,美团,112812885,浙江省,宁波市,宁海县,宁海县桃源中路168号西子国际广场4楼4F-21 ,121.441318,29.303954,0574-25591888,1,确定,2020/8/7,
4013,12854,欢乐迪量贩KTV,美团,42593470,浙江省,温州市,平阳县,平阳县解放街480号-2 ,120.562055,27.668577,0577-63157777,0,确定,2020/8/17,
4014,12856,嗨歌纯K量贩式KTV,美团,5252406,浙江省,舟山市,普陀区,普陀区海印路815号1011楼2楼政府西门对面（海天国际广场） ,122.322171,29.972803,0580-3860999,1,确定,2020/8/21,
4015,12858,恒馨魁酒店,,6379751,内蒙古,包头,固阳县,内蒙古包头固阳县包白路与科教路交叉路口南50米处,110.058073,41.021853,15947024721,,确定,2020.8.13,
4016,12860,逸都音乐餐吧,,108108829,甘肃,定西,安定区,甘肃安定区永定路1号,",104.623257",35.576012,0932-8329996,3,确定,2020.8.17,
4017,12867,夜曲猫咖酒吧KTV,美团,6217507,四川,成都,郫县,四川成都郫县郫县泰山二巷64号（近纺专,103.960312,30.757505, 13881955482||18628978472,1,确定,2020.8.17,是
4018,12868,歌库,美团,114105356,河北省,保定,唐县,河北省保定市唐县南环路红绿灯北100米路西,114.980636,38.73762,无,0,确定,2020/7/23,
4019,12875,家家牧歌,美团,113656235,山西,运城,永济市,山西运城永济市迎宾南路与富强街交叉口向南100米路西,34.857549,110.454406,0359-8425555,0,确定,2020/8/21,
4020,12881,汇邦纯K,美团,169263137,云南,曲靖,师宗县,云南曲靖 师宗县文笔大道老众生医院斜对面块木新公房旁 ,104.009266,24.825604, 0874-5750888,1,确定,2020.8.3,是
4021,12884,叁叁玖自助式KTV,美团,1772575128,福建省,厦门市,湖里区,福建省厦门市湖里区吕岭路122号报业大厦 ,118.135145,24.491986,13512323637,0,确定,2020/8/6,
4022,12885,茗都娱乐会所,美团,5721091,广西,百色,西林县, 西林县迎宾路东50米,105.102843,",24.487297",0776-8684333,0,确定,7.27,
4023,12890,丽都会所ktv,美团,1995208082,上海市,上海市,静安区,静安区延安西路396号 ,121.437878,31.218431,021-54162588,0,确定,2020/8/11,
4024,12894,传奇音乐国王,,160763969,甘肃,陇南,成县,甘肃陇南成县成洲中央广场四楼,105.734125,33.743028,0939-3331234,0,确定,2020.8.19,
4025,12896,第五季音乐餐吧,,5590211,甘肃,兰州,安宁区,甘肃兰州安宁区交大商业步行街二楼,103.724925,36.102329, 13609335726,3,确定,2020.8.18,
4026,12899,MIX米克主题量贩KTV,美团,117081984,云南,昆明,呈贡区,云南昆明 呈贡区雨花毓秀小区1期商铺商业广场G栋3层 ,102.850349,24.850966, 0871-64100058||0871-64100939,5,确定,2020.8.7,是
4027,12900,同一首歌量贩式KTV,,11284,辽宁,沈阳,铁西区,辽宁沈阳铁西区建设大路云峰街同一首歌,123.376947,41.79217,4006022300,1,确定,2020.8.12,
4028,12903,棒棒糖KTV,美团,2131628,安徽省,合肥市,新站区, 新站区磨店文忠路与前江路交口金瑞大厦二楼（拓基广场向北100米路东）,117.378107,31.936226,0551-64373111,3,确定,2020/7/31,
4029,12907,欧维斯主题KTV,美团,118625161,山东省,临沂市,兰山区,兰山区北城新区济南路与汶河路交汇齐鲁园广场北侧4楼 ,118.357013,35.113636,0539-7975555,1,确定,2020/8/5,
4030,12911,钱柜KTV,美团,169522395,安徽省,六安市,金寨县,金寨县210省道金水湾商务宾馆旁 ,115.8796,31.688671,0564-7165688,0,确定,2020/8/6,
4031,12912,金莎ktv量贩,美团,99803521,云南,楚雄彝族自治州,楚雄市,云南楚雄彝族自治州楚雄市太阳历大道轻纺城3号楼 ,101.529765,25.04307,15125765083手机,3,确定,2020.8.14,是
4032,12920,阿曼达主题KTV（南湖都会店）,美团,1369793,湖北省,武汉,武昌区,湖北省武汉市武昌区恒安路134号南湖都会C座3楼（近蓝湖医院） ,114.292058,30.576601,027-88010751,5,确定,2020/8/10,
4033,12921,欢乐空间量贩式KTV（江夏宜佳广场店）,美团,6004389,湖北省,武汉,江夏区,湖北省武汉市江夏区兴新街219号宜佳广场4楼（老人民医院） ,114.315651,30.347189,027-81718088,3,确定,2020/8/10,
4034,12924,卡秀纯K主题KTV（胜浦店）,美团,117576158,江苏省,苏州市,工业园区,工业园区苏州工业园区胜浦新胜商业广场1018号 ,120.830085,31.302308,0512-62372128,2,确定,2020/8/13,
4035,12925,蘋果纯k,美团,169514453,山西,朔州,平鲁区,山西朔州 平鲁区新城街新世纪家具城旁  ,112.294514,39.516265,0349-8811111,0,确定,2020/8/21,
4036,12935,铜锣湾主题KTV（硕放店）,美团,117574048,江苏省,无锡市,新吴区,新吴区硕放镇盈发路上海华联超市3楼 ,120.44523,31.477951,0510-88583999,2,确定,2020/8/19,
4037,12941,凯旋门KTV,美团,116760215,安徽省,蚌埠市,五河县, 五河县环城北路西城美墅小区22号楼0单元1-2层金帝国际影城楼下,117.876775,33.14549,0552-5621111||0552-5832111,1,确定,2020/7/27,
4038,12945,欢乐空间量贩式KTV（江夏中央大街店）,美团,1508563,湖北省,武汉,江夏区,湖北省武汉市江夏区江夏大道128号中央大街商业广场3楼（近世纪广场，903公交总站）,114.329692,30.354840,027-87018088,3,确定,2020/8/10,
4039,12946,新起点娱乐会所ktv,美团,150128722,安徽省,亳州市,利辛县, 利辛县瞰疃镇客运西站对面308线与224线交界处,116.555349,33.078876, 0558-8961668,0,确定,2020/7/28,
4040,12953,怡景会KTV,美团,114275765,广东,佛山,南海区, 南海区丹灶镇桂丹西路22号佳盛购物广场内（颐景园） ,112.94665,",23.06004",0757-83683881,1,确定,7.29,
4041,12954,唛哆哆主题量贩式KTV,美团,117788790,江苏省,南京市,溧水区,溧水区珍珠南路14号3楼 ,119.031313,31.651107,025-57295566,2,确定,2020/8/6,
4042,12957,欧伦酒吧,美团,5774924,安徽省,淮北市,相山区,相山区中泰国际广场一期负一层（近沃尔玛）,116.794908,33.955803, 0561-3229898,1,确定,2020/8/3,
4043,12959,歌谷KTV,美团,4892080,新疆,塔城地区,裕民县,新疆省塔城地区裕民县塔斯特西路17号 ,82.981900,46.205600,0901-6721111,0,确定,2020/8/24,
4044,12961,紫金太和KTV,美团,163342642,陕西,汉中,城固县,陕西汉中城固县文化路白云广场 ,107.323309,33.152493, 0916-7289000,0,确定,2020/8/24,
4045,12975,金唛量贩KTV,美团,2512836,浙江省,衢州市,柯城区,柯城区上街157号（东方大酒店对面） ,118.873601,28.952593,0570-8066888||0570-8066889,1,确定,2020/8/10,
4046,12979,天外天音乐广场,,4417137,辽宁,葫芦岛,龙港区,辽宁葫芦岛龙港区小街28号 ,"120.928861,40.72275",40.729692, 0429-30396666,0,确定,2020.8.11,
4047,12980,麦秀KTV（九堡店）,美团,150146870,浙江省,杭州市,江干区, 江干区杭乔路233号东城农贸市场3楼 ,120.279918,30.30774, 0571-81967285,0,确定,2020/7/30,
4048,12989,银座KTV,美团,6134265,河南省,南阳市,镇平县,河南省南阳市镇平县杏山西路地税局东20米 ,112.226401,33.048323,0377-65773333,0,确定,2020/8/3,
4049,12990,盛世花海KTV,美团,41070603,陕西,宝鸡,渭滨区,陕西宝鸡 渭滨区创业路3号先行大厦6楼（创业路与英达路交汇处） ,107.135764,34.355227, 0917-2600888,3,确定,2020/8/24,
4050,12991,欢乐空间量贩式KTV（首义店）,美团,4403058,湖北省,武汉,武昌区,湖北省武汉市武昌区张之洞路151号泛悦汇·KA街B1层 ,114.304342,30.534706,027-82418088,0,确定,2020/8/10,
4051,12996,都市KTV（西乡店）,美团,1441775,广东,深圳,宝安区, 宝安区西乡街道金海路盐田新二村一号B栋3楼 ,"113.862197,",22.580687, 0755-23086833/23086933,1,确定,8.13,
4053,13002,老代,美团,5446136,四川,内江,威远县,四川内江威远县内三路口工行旁楼梯下 ,104.66424,29.527473,13568008000手机,0,确定,2020.8.4,是
4054,13004,皇朝超级量贩KTV,美团,6952702,四川,凉山彝族自治州,德昌县,四川凉山彝族自治州 德昌县香城大道南段新客运站皇朝大酒店2层 ,102.188029,27.398774,0834-5200001,0,确定,2020.8.6,是
4055,13010,银马车KTV,美团,5051962,山西,忻州,忻府区,山西忻州 忻府区忻府区五台山南路地税对面（面粉厂综合楼）,112.738107,38.42649,0350-3028987,4,确定,2020/8/21,
4056,13011,嘉乐迪量贩KTV,美团,169522820,安徽省,安庆市,望江县, 望江县363省道与332省道交叉口东50米路北 ,116.735108,30.30496,无,0,确定,2020/7/27,
4057,13015,欢乐空间量贩式KTV（奥山世纪城店）,美团,4138197,湖北省,武汉,青山区,湖北省武汉市青山区和平大道819号奥山世纪城4楼（靠近沃尔玛、CGV国际影城）,114.361478,30.616585,027-86868088,1,确定,2020/8/10,
4058,13027,Miohca缪卡欢乐派对KTV（燕郊店）,美团,114948753,河北省,廊坊市,三河市,河北省廊坊市三河市102国道27号永旺梦乐城负一层B126 ,116.865331,39.94897,0316-3096686||0316-3096696,1,确定,2020/7/30,
4059,13029,歌宴KTV会所,,158923724,甘肃,武威,凉州区,甘肃 凉州区北大街28号（共和街东口，市工商局，建设银行北大街支行） ,102.636329,",37.93114", 0935-5956666,0,确定,,
4060,13032,皇室派对主题KTV,美团,169511510,湖南省,湘西土家族苗族自治州,吉首市,湖南省湘西土家族苗族自治州泸溪县319国道德尔地板旁 ,110.207781,28.216192,0743-4268999,0,确定,2020/8/11,
4061,13036,万紫千红娱乐城,美团,40189646,新疆,阿克苏地区,阿克苏市,阿克苏市新城街道迎宾路28号 ,80.28818,41.181621,无,0,确定,2020/8/24,
4062,13037,老半岛咖啡,美团,86662144,新疆,乌鲁木齐,米东区,新疆省乌鲁木齐米东区古牧地西路473号,87.642681,43.964537,13369641086,0,确定,2020/8/24,
4063,13047,英皇量贩KTV（临翔店）,美团,111612399,云南,临沧,临翔区,云南临沧 临翔区缅宁大道427号东港大酒店3-4楼 ,100.101092,23.881739, 0883-2770666,2,确定,2020.8.6,是
4064,13048,欢乐豆量贩式KTV,美团,112080255,河北省,邯郸市,馆陶县,河北省邯郸市馆陶县筑先路与金凤街交口新天地4楼（尚客优北行200米）,115.28467,36.546821,15081131503||0310-2850589,1,确定,2020/7/27,
4065,13051,陆屋好声音量贩式KTV,美团,82556840,广西,钦州,灵山县, 灵山县陆屋镇汽车总站对面 ,"108.95261,",22.283814,0777-6598899,0,确定,8.11,
4066,13052,1线国际娱乐会所,美团,4430404,安徽省,池州市,东至县, 东至县尧城路供销社大楼 ,117.020681,30.097351, 0566-7028777,0,确定,2020/7/29,
4067,13056,欢乐空间量贩式KTV（F6漫时区店）,美团,41172919,湖北省,武汉,武昌区,湖北省武汉市武昌区和平大道722号F6漫时区6号楼4楼 ,114.322691,30.575194,027-87258088,4,确定,2020/8/10,
4068,13061,康嘉国际休闲会所,美团,160487161,广东,广州,白云区,广东省广州市白云区石井街道庆丰牌坊路庆丰商业广场3楼,113.226798,23.211958,020-66290898,0,确定,7.3,
4069,13067,新元素聚会餐厅,,191404283,甘肃,平凉,崆峒区,甘肃崆峒区柳湖西路世纪花园B1区码头故事楼上,",106.67128",35.55272,18189330087/0933-8695508,3,确定,2020.8.19,
4070,13069,麦莎纯K,,194023688,内蒙古,鄂尔多斯,伊金霍洛旗,内蒙古鄂尔多斯伊金霍洛旗文明路南公园街东达尔扈特路西商业巷北C3商业房 ,"109.73851,39.57204",39.56466,15352887002,2,确定,2020.8.13,
4071,13070,欢乐空间量贩式KTV（花桥店）,美团,1149052,湖北省,武汉,江岸区,湖北省武汉市江岸区黄孝河路49号花桥二村百佳购物广场4楼 ,114.285538,30.617791,027-82898088,3,确定,2020/8/10,
4072,13073,七星派对量贩KTV,美团,111639233,广西,桂林,临桂区, 临桂区榕山路60号唯美酒店2-3楼,110.207025,25.25169,0773-5584411,1,确定,8.3,
4073,13076,尚金8号KTV,美团,112004414,山东省,临沂市,兰山区,兰山区通达路与陶然路交汇处东北角首联旺角购物广场1楼C区东面（首联旺角购物广场东北侧） ,118.33194,35.038111,0539-7629888,5,确定,2020/8/5,
4074,13082,洋浦金港湾酒店,美团,40622416,海南,海南省直辖县,儋州市,儋州市洋浦经济开发区吉浦路凯丰城市广场,109.20785,19.736218,0898-28817777/28825777,3,确定,8.4,
4075,13084,星家乐时尚量贩KTV,美团,150133562,上海市,上海市,宝山区,宝山区场北路704号场北商业广场三楼1号（近康宁路口） ,121.425384,31.331858,021-56971788,3,确定,2020/8/11,
4076,13085,第七感觉量贩式ktv,美团,152366832,四川,绵阳,盐亭县,四川省绵阳 盐亭县弥江路下段119号2楼 ,105.391482,31.218104,0816-7782288,0,确定,2020.8.5,是
4077,13092,高调纯K（大浪店）,美团,42487209,广东,深圳,宝安区,广东深圳龙华区大浪商业中心17栋3楼,113.992417,22.675762,0755-29195888,1,确定,8.13,
4078,13096,喜乐华（人民东路店）,美团,2287212,陕西省,咸阳市,秦都区,陕西省咸阳市渭城区人民东路11号（北门口向东200米路北） ,108.73333,34.339208,029-33361111,1,确定,2020/8/24,
4079,13105,丽洋KTV,,5048553,吉林,四平,公主岭市,吉林公主岭市体育街盛世家园正门体育街实验综合楼55号,"124.829771,43.508516",43.508172,0434-6755333,0,确定,2020.8.7,
4080,13106,唛歌量贩式KTV,,113334596,吉林,四平,铁西区,吉林四平铁西区火车站交通宾馆西行50米,124.371192,43.167892,0434-3282666,1,确定,2020.8.7,
4081,13108,乐道好声音量贩式KTV（苏家屯店）,,115822910,辽宁,沈阳,苏家屯区,辽宁沈阳苏家屯区白杨路51号,"123.345927,41.660151",41.661202,024-89813888,2,确定,2020.8.12,
